CHECKPOINT: mockingjay_libri_sd1337_LinearLarge/mockingjay-500000.ckpt
ORIGINAL PERFORMANCE: 0.3082897745502683
PRUNE HEAD SUMMARY
PRUNE LAYER 0
head 0: 0.308411870080118
head 1: 0.3083286394293492
head 2: 0.3084260549109716
head 3: 0.3083355573650736
head 4: 0.3083795855681484
head 5: 0.3083459669724107
head 6: 0.30827330898206967
head 7: 0.3083715746895625
head 8: 0.3085028673163973
head 9: 0.3085884628101037
head 10: 0.30840748820740443
head 11: 0.3084875541524245
PRUNE LAYER 1
head 12: 0.30822322632257754
head 13: 0.31013385184968895
head 14: 0.3081260070634576
head 15: 0.30804411916492075
head 16: 0.308212005533278
head 17: 0.30828136972223336
head 18: 0.30836653236586314
head 19: 0.31162897089066416
head 20: 0.3081663336891394
head 21: 0.30826319410250735
head 22: 0.30812428655246127
head 23: 0.30822886669865024
PRUNE LAYER 2
head 24: 0.30828125961124897
head 25: 0.3082793977541419
head 26: 0.3106270397368532
head 27: 0.3082819184145102
head 28: 0.308286952571227
head 29: 0.3082820495877128
head 30: 0.30828468408435583
head 31: 0.30828010383993387
head 32: 0.3110636273542276
head 33: 0.3117313481724033
head 34: 0.308295419654594
head 35: 0.30826729715157014
PRUNE LAYER 3
head 36: 0.30829502556186456
head 37: 0.3083314742319859
head 38: 0.308395961442819
head 39: 0.3082749114300196
head 40: 0.3083639508113265
head 41: 0.30840907260202444
head 42: 0.30862791707309395
head 43: 0.3083558999575101
head 44: 0.3084128195993029
head 45: 0.3083301620701185
head 46: 0.3083356027849592
head 47: 0.3083473783559524
PRUNE LAYER 4
head 48: 0.3082948519776647
head 49: 0.3082878189877822
head 50: 0.30841821073912656
head 51: 0.30828031374571413
head 52: 0.3082897605087895
head 53: 0.30828728369222236
head 54: 0.30827765059299195
head 55: 0.30828069444172657
head 56: 0.30828806134657216
head 57: 0.3084923497472818
head 58: 0.3082896506127257
head 59: 0.3082902664318681
PRUNE LAYER 5
head 60: 0.3082891942646641
head 61: 0.30829760597015804
head 62: 0.30830162634643227
head 63: 0.30828465865208554
head 64: 0.30829017236828804
head 65: 0.30837851533522975
head 66: 0.30828520648468
head 67: 0.30832210648804903
head 68: 0.30829296518976873
head 69: 0.308311372422255
head 70: 0.3082928926898883
head 71: 0.3082805946469307
PRUNE LAYER 6
head 72: 0.30831074786300844
head 73: 0.3082832357344719
head 74: 0.3082855829539207
head 75: 0.3082965948404028
head 76: 0.3082852697429749
head 77: 0.30828170478343964
head 78: 0.30828378070145845
head 79: 0.30829303489568144
head 80: 0.3083099437734255
head 81: 0.3082957881001326
head 82: 0.3082839562915839
head 83: 0.3082874876518662
PRUNE LAYER 7
head 84: 0.3082874001791844
head 85: 0.30832430777641445
head 86: 0.30828727996693206
head 87: 0.30828549806028605
head 88: 0.30829472632075733
head 89: 0.30829749979938453
head 90: 0.308291912651979
head 91: 0.30831876733841806
head 92: 0.3082927959756209
head 93: 0.30828695751440066
head 94: 0.3082937470708902
head 95: 0.3082893896991244
PRUNE LAYER 8
head 96: 0.3083084631854525
head 97: 0.30832062009721994
head 98: 0.30850221345630974
head 99: 0.3083370163177068
head 100: 0.3083279561251402
head 101: 0.3082675804169132
head 102: 0.3083266459691983
head 103: 0.3089931686767019
head 104: 0.3083819377307708
head 105: 0.3083043396472931
head 106: 0.30832679412112785
head 107: 0.30833002301649404
PRUNE LAYER 9
head 108: 0.3084408545580048
head 109: 0.3082485946898277
head 110: 0.30828520146986615
head 111: 0.30828080949588466
head 112: 0.3083293128472108
head 113: 0.30831849130873495
head 114: 0.30830893615404
head 115: 0.30825962427143866
head 116: 0.3084344922636564
head 117: 0.3082828791812062
head 118: 0.3082281003634517
head 119: 0.30829822114453864
PRUNE LAYER 10
head 120: 0.30910702235996723
head 121: 0.30840124727155155
head 122: 0.3091443753443085
head 123: 0.30819959938526154
head 124: 0.30827377543139917
head 125: 0.30841794631515557
head 126: 0.3084250601151815
head 127: 0.30823458244021124
head 128: 0.30915712027882153
head 129: 0.30861818532531077
head 130: 0.308551381342113
head 131: 0.3083201509972031
PRUNE LAYER 11
head 132: 0.30827532851925266
head 133: 0.30851985399539655
head 134: 0.3085623351283945
head 135: 0.30840405062414133
head 136: 0.30868021979068333
head 137: 0.3087664025907333
head 138: 0.3086400363021172
head 139: 0.3085346158164052
head 140: 0.3084216800589974
head 141: 0.30827227191856277
head 142: 0.30845219928484696
head 143: 0.3084854712136663
