CHECKPOINT: mockingjay_libri_sd1337_MelBase/mockingjay-500000.ckpt
ORIGINAL PERFORMANCE: 0.2166608520067082
PRUNE HEAD SUMMARY
PRUNE LAYER 0
head 0: 0.23325039421279842
head 1: 0.22006621666682455
head 2: 0.2200988374220637
head 3: 0.5420288095394006
head 4: 0.22367597776106918
head 5: 0.2168299458347834
head 6: 0.21780117694288492
head 7: 0.22579736617178872
head 8: 0.21727443837489074
head 9: 0.2337192393337878
head 10: 0.22509636722791654
head 11: 0.22346328277713978
PRUNE LAYER 1
head 12: 0.22288835045093527
head 13: 0.21711074105965403
head 14: 0.21682354549948984
head 15: 0.22683907088895255
head 16: 0.2169152797701267
head 17: 0.23092607530550316
head 18: 0.2168957288376987
head 19: 0.21656466382913864
head 20: 0.21713240186755473
head 21: 0.21702081083248442
head 22: 0.21693629760724994
head 23: 0.22306910870023644
PRUNE LAYER 2
head 24: 0.21755353447336417
head 25: 0.2171814602513153
head 26: 0.23622667606776723
head 27: 0.21777131874114275
head 28: 0.2169722280321786
head 29: 0.21805009582581428
head 30: 0.21713371044741228
head 31: 0.21986398906805193
head 32: 0.21684567272089994
head 33: 0.21653279529597896
head 34: 0.21762201730878308
head 35: 0.21701438542312154
