,file,index,start,end,label2a,label2b,label6,label7,split
0,--qXJuDtHPw,0,23.199,30.325,1,1,0,1,1
1,-3g5yACwYnA,0,82.753,100.555,1,1,0,1,0
2,-3g5yACwYnA,1,119.919,125.299,1,1,0,1,0
3,-3g5yACwYnA,2,4.84,14.052,1,0,0,0,0
4,-3g5yACwYnA,3,13.211,27.521,1,0,0,0,0
5,-3g5yACwYnA,4,26.541,41.3,1,1,0,1,0
6,-3g5yACwYnA,5,74.083,82.776,1,1,1,1,0
7,-3nNcZdcdvU,0,0.0,9.213,1,1,0,1,0
8,-3nNcZdcdvU,1,12.014,20.098,1,1,0,1,0
9,-3nNcZdcdvU,2,36.399,44.173,1,0,0,0,0
10,-571d8cVauQ,0,0.0,4.992,1,0,0,0,1
11,-571d8cVauQ,1,21.842,28.309,0,-1,0,-1,1
12,-571d8cVauQ,2,69.893,85.0,1,1,0,1,1
13,-6rXp3zJ3kc,0,14.468,22.882,1,0,1,0,2
14,-6rXp3zJ3kc,1,45.428,58.151,0,-1,1,-1,2
15,-6rXp3zJ3kc,2,58.109,71.96,1,1,1,1,2
16,-9YyBTjo1zo,0,-0.457596371882,1.77959183673,0,-1,0,-1,3
17,-9YyBTjo1zo,1,0.81950113379,5.96009070295,0,-1,2,-1,3
18,-9YyBTjo1zo,2,5.97777777778,22.6721088435,1,1,0,2,3
19,-9YyBTjo1zo,3,32.8167800454,42.9959183673,0,-1,4,-1,3
20,-9YyBTjo1zo,4,42.853968254,47.7850340136,0,-1,0,-2,3
21,-9y-fZ3swSY,0,0.0,6.748,1,1,0,1,2
22,-9y-fZ3swSY,1,5.988,12.096,1,1,0,2,2
23,-9y-fZ3swSY,2,11.475,15.898,1,1,0,1,2
24,-9y-fZ3swSY,3,16.055,22.832,1,1,0,2,2
25,-9y-fZ3swSY,4,23.179,25.825,1,0,1,0,2
26,-9y-fZ3swSY,5,37.077,43.026,0,-1,2,-1,2
27,-9y-fZ3swSY,6,42.475,48.214,1,1,0,1,2
28,-9y-fZ3swSY,7,47.444,52.345,1,1,0,2,2
29,-AUZQgSxyPQ,0,13.122,35.513,1,1,5,1,2
30,-Alixo7euuU,0,0.0124716553288,5.14081632653,1,0,1,0,3
31,-Alixo7euuU,1,5.14081632653,12.4641723356,1,0,0,0,3
32,-Alixo7euuU,2,79.1426303855,87.543537415,1,1,0,1,3
33,-Alixo7euuU,3,115.739455782,119.810204082,1,1,0,1,3
34,-Alixo7euuU,4,120.488662132,130.346258503,0,-1,0,-1,3
35,-Alixo7euuU,5,133.259637188,140.912244898,1,0,4,0,3
36,-Alixo7euuU,6,12.4641723356,21.2741496599,1,1,1,1,3
37,-Alixo7euuU,7,141.041950113,153.653287982,0,-1,1,-1,3
38,-Alixo7euuU,8,167.312244898,182.238321995,1,1,0,1,3
39,-Alixo7euuU,9,184.982086168,189.950793651,1,1,0,1,3
40,-Alixo7euuU,10,190.270068027,197.114512472,1,0,0,0,3
41,-Alixo7euuU,11,198.301814059,213.866439909,1,1,0,1,3
42,-Alixo7euuU,12,223.554421769,228.303628118,1,1,0,1,3
43,-Alixo7euuU,13,36.2600907029,41.7476190476,1,1,1,1,3
44,-Eqdz5y4pEY,0,21.5734693878,28.3480725624,0,-1,0,-1,3
45,-HeZS2-Prhc,0,7.764,16.905,1,1,0,2,2
46,-HeZS2-Prhc,1,15.905,24.049,1,1,0,1,2
47,-HeZS2-Prhc,2,34.224,44.083,1,1,0,1,2
48,-HeZS2-Prhc,3,71.998,78.815,0,-1,0,-1,2
49,-HvKLjmsO5U,0,11.9154195011,20.7653061224,1,1,0,2,3
50,-HvKLjmsO5U,1,21.2342403628,31.9399092971,1,1,0,1,3
51,-HwX2H8Z4hY,0,0.0,2.348,1,0,0,0,0
52,-HwX2H8Z4hY,1,2.146,11.318,0,-1,1,-1,0
53,-HwX2H8Z4hY,2,10.318,14.211,1,0,0,0,0
54,-HwX2H8Z4hY,3,13.92,20.118,1,1,1,1,0
55,-HwX2H8Z4hY,4,19.866,26.214,0,-1,1,-2,0
56,-HwX2H8Z4hY,5,27.08,32.61,0,-1,0,-1,0
57,-HwX2H8Z4hY,6,32.108,35.353,1,0,0,0,0
58,-HwX2H8Z4hY,7,35.441,42.806,1,1,0,1,0
59,-HwX2H8Z4hY,8,43.093,49.551,0,-1,2,-2,0
60,-HwX2H8Z4hY,9,49.299,56.934,0,-1,5,-1,0
61,-IUUR2yyNbw,0,7.22607709751,25.4047619048,1,1,0,1,3
62,-IUUR2yyNbw,1,114.861451247,126.445124717,1,0,0,0,3
63,-IUUR2yyNbw,2,142.857823129,149.861904762,1,1,0,1,3
64,-IUUR2yyNbw,3,32.7081632653,42.446031746,1,1,1,1,3
65,-IUUR2yyNbw,4,66.531292517,69.753968254,1,0,0,0,3
66,-I_e4mIh0yE,0,3.144,10.57,0,-1,1,-1,1
67,-I_e4mIh0yE,1,16.803,25.785,1,1,5,1,1
68,-I_e4mIh0yE,2,25.154,47.097,0,-1,1,-1,1
69,-IqSFQePnpU,0,0.0124716553288,17.2931972789,1,0,5,0,3
70,-KCahx2qBOI,0,86.5857142857,94.6174603175,0,-1,0,-1,3
71,-KCahx2qBOI,1,44.9702947846,51.9943310658,1,0,2,0,3
72,-KCahx2qBOI,2,79.880952381,86.1866213152,1,0,0,0,3
73,-LnuDPiuuZw,0,0.0124716553288,5.30045351474,1,1,0,1,3
74,-LnuDPiuuZw,1,6.23832199546,14.8387755102,1,1,0,1,3
75,-LnuDPiuuZw,2,15.3077097506,31.4310657596,1,1,0,1,3
76,-LnuDPiuuZw,3,96.5231292517,108.216553288,1,1,0,2,3
77,-MeTTeMJBNc,0,0.0,9.213,1,1,0,1,2
78,-MeTTeMJBNc,1,77.036,82.277,1,1,0,1,2
79,-MeTTeMJBNc,2,10.647,19.17,1,0,0,0,2
80,-MeTTeMJBNc,3,31.849,42.258,1,1,0,2,2
81,-NFrJFQijFE,0,-0.477551020408,4.10430839002,1,0,1,0,3
82,-NFrJFQijFE,1,3.37369614512,9.0231292517,1,1,0,1,3
83,-NFrJFQijFE,2,8.0231292517,14.7201814059,1,0,0,0,3
84,-NFrJFQijFE,3,44.1111111111,54.7691609977,1,1,0,1,3
85,-RfYyzHpjk4,0,64.794,69.855,1,1,0,2,2
86,-RfYyzHpjk4,1,9.051,14.441,1,1,0,1,2
87,-RfYyzHpjk4,2,48.711,53.223,1,1,0,1,2
88,-RfYyzHpjk4,3,52.652,60.536,1,0,2,0,2
89,-RpZEe4w4fY,0,0.0,3.576,1,1,0,3,3
90,-RpZEe4w4fY,1,2.745,5.182,1,1,2,1,3
91,-RpZEe4w4fY,2,34.184,43.954,1,1,2,2,3
92,-RpZEe4w4fY,3,43.153,45.54,1,0,0,0,3
93,-RpZEe4w4fY,4,4.182,11.787,1,1,0,2,3
94,-RpZEe4w4fY,5,10.787,18.352,1,0,2,0,3
95,-RpZEe4w4fY,6,17.761,27.561,1,1,0,1,3
96,-RpZEe4w4fY,7,26.561,28.479,1,1,0,1,3
97,-RpZEe4w4fY,8,27.479,29.976,1,1,2,1,3
98,-RpZEe4w4fY,9,29.205,31.532,1,1,0,1,3
99,-RpZEe4w4fY,10,30.732,33.248,1,1,0,1,3
100,-RpZEe4w4fY,11,32.378,35.034,1,1,0,1,3
101,-SYSVSQnTnA,0,0.0124716553288,6.89682539683,1,1,0,2,3
102,-SYSVSQnTnA,1,7.43560090703,13.8310657596,0,-1,0,-1,3
103,-SYSVSQnTnA,2,15.2777777778,21.6233560091,1,1,0,1,3
104,-THoVjtIkeU,0,0.0,13.463,1,1,0,2,0
105,-THoVjtIkeU,1,12.693,23.071,1,1,0,2,0
106,-THoVjtIkeU,2,112.625,122.934,0,-1,0,-1,0
107,-THoVjtIkeU,3,122.393,127.215,1,1,0,3,0
108,-THoVjtIkeU,4,126.604,141.392,1,1,0,2,0
109,-THoVjtIkeU,5,23.308,27.531,1,1,0,2,0
110,-THoVjtIkeU,6,84.27,92.244,1,1,0,3,0
111,-THoVjtIkeU,7,97.62,106.831,1,1,0,1,0
112,-UUCSKoHeMA,0,0.0,7.716,1,0,0,0,2
113,-UUCSKoHeMA,1,65.532,71.97,0,-1,3,-1,2
114,-UUCSKoHeMA,2,10.338,22.642,1,0,0,0,2
115,-UUCSKoHeMA,3,58.508,66.532,1,1,0,1,2
116,-UacrmKiTn4,0,71.938,79.164,0,-1,2,-1,1
117,-UacrmKiTn4,1,34.792,39.464,0,-1,0,-2,1
118,-UacrmKiTn4,2,42.664,46.318,1,0,0,0,1
119,-UacrmKiTn4,3,45.717,56.216,1,1,0,1,1
120,-UuX1xuaiiE,0,0.0,3.566,1,1,0,3,0
121,-UuX1xuaiiE,1,3.084,13.333,1,1,0,2,0
122,-UuX1xuaiiE,2,12.463,20.437,1,1,0,2,0
123,-UuX1xuaiiE,3,19.437,23.47,1,1,0,1,0
124,-UuX1xuaiiE,4,22.47,28.639,1,1,0,2,0
125,-UuX1xuaiiE,5,27.639,30.794,1,1,1,1,0
126,-UuX1xuaiiE,6,30.253,38.187,0,-1,1,-1,0
127,-UuX1xuaiiE,7,37.686,43.794,0,-1,1,-2,0
128,-UuX1xuaiiE,8,42.884,51.556,1,1,0,2,0
129,-UuX1xuaiiE,9,51.125,57.693,1,1,0,1,0
130,-VmheDA92mM,0,-0.437641723356,8.24489795918,0,-1,1,-3,3
131,-VmheDA92mM,1,8.88117913832,12.9641723356,0,-1,2,-2,3
132,-VmheDA92mM,2,11.9641723356,23.5102040816,0,-1,2,-2,3
133,-VmheDA92mM,3,23.8172335601,29.3569160998,1,1,0,1,3
134,-VmheDA92mM,4,29.7537414966,44.6222222222,1,0,2,0,3
135,-WXXTNIJcVM,0,0.0,2.079,1,1,0,2,0
136,-WXXTNIJcVM,1,1.278,5.012,1,1,0,2,0
137,-WXXTNIJcVM,2,4.351,8.444,1,1,0,3,0
138,-WXXTNIJcVM,3,7.594,18.721,1,1,0,2,0
139,-WXXTNIJcVM,4,31.44,41.988,1,1,3,1,0
140,-ZgjBOA1Yhw,0,10.837,19.779,0,-1,1,-1,0
141,-ZgjBOA1Yhw,1,18.779,30.255,0,-1,1,-1,0
142,-ZgjBOA1Yhw,2,37.107,46.787,0,-1,5,-1,0
143,-ZgjBOA1Yhw,3,46.017,53.003,1,1,1,1,0
144,-ZgjBOA1Yhw,4,60.993,72.259,1,1,0,1,0
145,-ZgjBOA1Yhw,5,71.259,81.957,1,0,2,0,0
146,-a55Q6RWvTA,0,17.112,39.175,1,1,0,1,0
147,-aNfi7CP8vM,0,48.112,58.58,1,0,0,0,0
148,-aNfi7CP8vM,1,27.639,36.161,1,0,0,0,0
149,-aqamKhZ1Ec,0,0.0,10.889,0,-1,1,-2,0
150,-aqamKhZ1Ec,1,9.889,23.959,0,-1,1,-1,0
151,-aqamKhZ1Ec,2,29.115,42.317,0,-1,0,-1,0
152,-bl5PfNIYrk,0,18.5603174603,25.7240362812,1,1,0,1,3
153,-bl5PfNIYrk,1,104.993877551,113.584353741,1,1,0,2,3
154,-bl5PfNIYrk,2,131.483673469,142.778004535,1,1,0,2,3
155,-bl5PfNIYrk,3,48.4922902494,58.8886621315,1,1,0,1,3
156,-bl5PfNIYrk,4,59.8365079365,65.3739229025,1,1,0,2,3
157,-bl5PfNIYrk,5,65.9526077098,79.8111111111,1,1,0,2,3
158,-bl5PfNIYrk,6,80.4297052154,84.9394557823,1,1,0,2,3
159,-cEhr0cQcDM,0,56.423,63.819,1,1,0,2,2
160,-cEhr0cQcDM,1,31.819,38.935,1,0,0,0,2
161,-cmk6cfUeMs,0,0.0124716553288,4.1231292517,1,1,0,1,3
162,-cmk6cfUeMs,1,4.13310657596,18.4405895692,1,1,0,1,3
163,-dZ1TCboxcQ,0,0.0124716553288,9.76031746032,1,0,2,0,3
164,-dZ1TCboxcQ,1,11.6659863946,17.1136054422,0,-1,1,-1,3
165,-dZ1TCboxcQ,2,17.143537415,25.1253968254,0,-1,1,-1,3
166,-dZ1TCboxcQ,3,30.00430839,39.9317460317,0,-1,1,-1,3
167,-dxfTGcXJoc,0,0.0,20.407,1,1,2,1,0
168,-dxfTGcXJoc,1,20.205,36.221,1,1,0,2,0
169,-dxfTGcXJoc,2,36.169,52.794,1,1,2,1,0
170,-dxfTGcXJoc,3,52.622,62.502,1,1,2,2,0
171,-dxfTGcXJoc,4,62.25,67.321,1,1,0,2,0
172,-dxfTGcXJoc,5,67.189,77.308,1,1,0,2,0
173,-dxfTGcXJoc,6,77.465,90.079,1,1,0,1,0
174,-dxfTGcXJoc,7,90.107,100.914,1,1,2,1,0
175,-egA8-b7-3M,0,1.268,11.408,1,1,1,1,0
176,-egA8-b7-3M,1,67.957,78.615,1,1,0,1,0
177,-egA8-b7-3M,2,86.116,90.139,1,1,0,1,0
178,-egA8-b7-3M,3,93.848,101.403,1,0,1,0,0
179,-egA8-b7-3M,4,101.561,107.03,1,1,0,1,0
180,-egA8-b7-3M,5,106.729,113.805,1,1,1,1,0
181,-egA8-b7-3M,6,113.314,121.567,1,1,1,1,0
182,-egA8-b7-3M,7,11.156,17.813,1,0,1,0,0
183,-egA8-b7-3M,8,124.788,131.245,1,1,0,1,0
184,-egA8-b7-3M,9,150.509,157.286,1,0,1,0,0
185,-egA8-b7-3M,10,157.184,162.654,1,1,1,2,0
186,-egA8-b7-3M,11,162.642,189.413,1,1,0,2,0
187,-egA8-b7-3M,12,188.802,194.701,1,1,0,2,0
188,-egA8-b7-3M,13,17.731,24.977,1,1,0,1,0
189,-egA8-b7-3M,14,27.858,35.273,1,1,1,1,0
190,-egA8-b7-3M,15,35.102,41.27,1,1,1,1,0
191,-egA8-b7-3M,16,63.377,68.308,1,1,0,1,0
192,-hPfPhUIzfA,0,1.77845804989,18.1712018141,1,1,0,2,3
193,-hPfPhUIzfA,1,18.1712018141,22.7009070295,1,1,0,1,3
194,-hPfPhUIzfA,2,36.719047619,41.8274376417,1,1,0,1,3
195,-hPfPhUIzfA,3,41.9671201814,49.2006802721,1,1,0,1,3
196,-hnBHBN8p5A,0,16.9528344671,19.1002267574,1,1,0,3,1
197,-hnBHBN8p5A,1,21.043537415,27.3614512472,1,1,0,1,1
198,-hnBHBN8p5A,2,28.4965986395,35.7922902494,1,1,0,1,1
199,-hnBHBN8p5A,3,35.1614512472,40.7210884354,1,0,5,0,1
200,-hnBHBN8p5A,4,39.7210884354,47.4358276644,1,1,0,1,1
201,-iRBcNs9oI8,0,0.340589569161,8.33469387755,1,1,0,2,0
202,-iRBcNs9oI8,1,36.5882086168,41.8585034014,1,1,0,2,0
203,-iRBcNs9oI8,2,42.1455782313,46.019047619,1,0,0,0,0
204,-iRBcNs9oI8,3,7.7537414966,10.819047619,1,1,0,1,0
205,-iRBcNs9oI8,4,10.2281179138,15.7578231293,1,1,0,1,0
206,-iRBcNs9oI8,5,16.2743764172,20.3972789116,1,0,0,0,0
207,-iRBcNs9oI8,6,19.5868480726,22.4027210884,1,1,0,1,0
208,-iRBcNs9oI8,7,21.7219954649,25.7151927438,1,1,0,1,0
209,-iRBcNs9oI8,8,25.5732426304,33.5972789116,1,1,0,1,0
210,-iRBcNs9oI8,9,33.7546485261,37.1192743764,1,1,0,2,0
211,-l_53IwQoj0,0,33.1371882086,39.3231292517,1,1,0,1,3
212,-lqc32Zpr7M,0,0.0,5.112,1,0,0,0,0
213,-lqc32Zpr7M,1,38.514,47.576,1,1,1,1,0
214,-lqc32Zpr7M,2,76.448,85.42,0,-1,1,-1,0
215,-lqc32Zpr7M,3,22.4,27.731,0,-1,1,-1,0
216,-lzEya4AM_4,0,78.194,85.569,0,-1,1,-1,0
217,-lzEya4AM_4,1,25.124,32.679,0,-1,2,-1,0
218,-lzEya4AM_4,2,32.907,47.625,0,-1,0,-1,0
219,-lzEya4AM_4,3,47.324,51.686,1,0,2,0,0
220,-lzEya4AM_4,4,63.347,78.266,1,1,2,1,0
221,-m9KtvCk_L8,0,47.1353741497,52.5231292517,1,0,1,0,3
222,-m9KtvCk_L8,1,39.7222222222,42.4659863946,0,-1,1,-1,3
223,-m9KtvCk_L8,2,42.4659863946,47.1353741497,1,0,0,0,3
224,-mJ2ud6oKI8,0,0.47029478458,6.51882086168,1,0,1,0,0
225,-mJ2ud6oKI8,1,6.04761904762,11.7369614512,1,0,1,0,0
226,-mJ2ud6oKI8,2,11.1759637188,16.6757369615,1,0,1,0,0
227,-mJ2ud6oKI8,3,15.6757369615,22.1732426304,1,0,0,0,0
228,-mJ2ud6oKI8,4,21.1732426304,25.9646258503,1,1,0,2,0
229,-mJ2ud6oKI8,5,25.4036281179,27.6108843537,1,1,0,1,0
230,-mJ2ud6oKI8,6,26.8303854875,30.4743764172,1,0,0,0,0
231,-mJ2ud6oKI8,7,29.4743764172,33.6272108844,0,-1,0,-1,0
232,-mJ2ud6oKI8,8,33.0063492063,39.9129251701,1,0,0,0,0
233,-mqbVkbCndg,0,0.0,6.369,1,0,2,0,0
234,-mqbVkbCndg,1,5.948,9.173,1,0,0,0,0
235,-mqbVkbCndg,2,51.055,57.683,1,1,0,1,0
236,-o_667Ny7RM,0,0.0124716553288,5.63968253968,1,1,0,1,3
237,-qDkUB0GgYY,0,30.382,47.655,1,1,0,2,1
238,-qDkUB0GgYY,1,46.655,51.247,1,1,0,2,1
239,-qDkUB0GgYY,2,57.8,66.433,1,1,0,2,1
240,-qMhGeJkp5o,0,66.1920634921,76.5385487528,1,1,0,2,3
241,-qMhGeJkp5o,1,76.9975056689,85.2287981859,1,1,0,1,3
242,-qMhGeJkp5o,2,85.2287981859,94.6972789116,1,1,0,1,3
243,-qMhGeJkp5o,3,5.93900226757,13.9408163265,1,1,0,2,3
244,-qMhGeJkp5o,4,14.1702947846,27.919047619,1,1,0,1,3
245,-qMhGeJkp5o,5,28.4079365079,33.6759637188,1,1,0,2,3
246,-qMhGeJkp5o,6,33.7757369615,39.2133786848,1,0,2,0,3
247,-qMhGeJkp5o,7,49.7594104308,55.5961451247,1,1,0,1,3
248,-qMhGeJkp5o,8,62.4605442177,65.5734693878,0,-1,2,-2,3
249,-ri04Z7vwnc,0,-0.487528344671,3.23628117914,1,0,1,0,2
250,-ri04Z7vwnc,1,2.23628117914,7.27709750567,0,-1,0,-1,2
251,-ri04Z7vwnc,2,6.27709750567,12.1859410431,0,-1,0,-1,2
252,-ri04Z7vwnc,3,39.1224489796,42.5469387755,1,1,1,1,2
253,-ri04Z7vwnc,4,41.8263038549,52.653968254,1,1,1,1,2
254,-ri04Z7vwnc,5,51.653968254,58.2213151927,1,1,0,1,2
255,-rxZxtG0xmY,0,0.0,11.178,0,-1,1,-1,2
256,-rxZxtG0xmY,1,13.092,21.994,1,0,1,0,2
257,-s9qJ7ATP7w,0,0.0,6.708,0,-1,1,-1,2
258,-s9qJ7ATP7w,1,6.107,10.729,1,1,0,1,2
259,-s9qJ7ATP7w,2,9.729,14.451,1,1,0,2,2
260,-s9qJ7ATP7w,3,13.77,19.439,1,1,0,1,2
261,-s9qJ7ATP7w,4,18.439,22.672,1,0,0,0,2
262,-s9qJ7ATP7w,5,21.672,30.055,0,-1,1,-2,2
263,-s9qJ7ATP7w,6,29.125,31.432,1,0,0,0,2
264,-s9qJ7ATP7w,7,30.801,37.638,1,1,0,1,2
265,-s9qJ7ATP7w,8,36.638,39.813,1,1,0,2,2
266,-s9qJ7ATP7w,9,38.813,46.229,1,1,0,1,2
267,-t217m2on-s,0,10.647,16.257,1,1,0,1,0
268,-t217m2on-s,1,43.183,60.187,0,-1,1,-1,0
269,-tANM6ETl_M,0,0.0,11.039,0,-1,4,-1,0
270,-tANM6ETl_M,1,19.008,25.605,1,1,0,1,0
271,-tANM6ETl_M,2,25.084,47.905,1,1,0,1,0
272,-tPCytz4rww,0,48.611,53.283,1,0,1,0,0
273,-tPCytz4rww,1,52.532,57.902,1,0,0,0,0
274,-tPCytz4rww,2,56.902,68.628,1,0,1,0,0
275,-tPCytz4rww,3,81.027,88.153,1,0,1,0,0
276,-tPCytz4rww,4,90.955,97.512,1,0,0,0,0
277,-tPCytz4rww,5,102.588,106.252,1,0,0,0,0
278,-uywlfIYOS8,0,24.955,30.834,1,1,0,1,1
279,-uywlfIYOS8,1,47.015,59.439,1,1,0,3,1
280,-vxjVxOeScU,0,24.396,31.023,1,1,0,1,0
281,-vxjVxOeScU,1,35.94,44.961,1,1,0,1,0
282,-vxjVxOeScU,2,60.085,73.816,1,1,0,2,0
283,-wMB_hJL-3o,0,0.0,7.237,1,1,0,1,0
284,-wMB_hJL-3o,1,30.642,39.913,1,1,0,2,0
285,-wMB_hJL-3o,2,64.914,76.25,1,1,0,1,0
286,-wMB_hJL-3o,3,75.689,81.658,1,1,1,1,0
287,-wdUIwjDMfg,0,0.0124716553288,30.6628117914,1,1,0,2,3
288,-wny0OAz3g8,0,0.0,3.256,1,1,0,1,0
289,-wny0OAz3g8,1,2.256,9.013,1,1,0,1,0
290,-wny0OAz3g8,2,8.013,14.521,0,-1,0,-1,0
291,-wny0OAz3g8,3,13.521,19.599,0,-1,4,-2,0
292,-wny0OAz3g8,4,18.599,23.061,1,0,1,0,0
293,-wny0OAz3g8,5,22.121,28.848,1,1,0,1,0
294,-wny0OAz3g8,6,38.065,45.969,1,0,0,0,0
295,-wny0OAz3g8,7,45.069,50.22,1,0,0,0,0
296,-wny0OAz3g8,8,49.22,55.258,1,1,0,1,0
297,-yRb-Jum7EQ,0,5.279,34.376,1,0,1,0,2
298,-yRb-Jum7EQ,1,44.41,53.582,1,0,1,0,2
299,-yRb-Jum7EQ,2,52.582,59.798,1,0,4,0,2
